"","x"
"1",124717.04605016
"2",132103.017098973
"3",122630.888776959
"4",130753.335098747
"5",125006.042194984
"6",112142.037175018
"7",120322.833460664
"8",128125.926028142
"9",127544.435684329
"10",124068.743411508
"11",124674.464633491
"12",131550.829424927
"13",116712.930710844
"14",137717.7117056
"15",127035.062821792
"16",129396.133249073
"17",125313.493785452
"18",122788.966803452
"19",121192.317605825
"20",125177.070778052
"21",133166.34281945
"22",114740.582939599
"23",129752.336362512
"24",117469.927087168
"25",125256.074295309
"26",120896.703001772
"27",123888.698278296
"28",128199.542971808
"29",125876.124244152
"30",115880.80643518
"31",124191.593310818
"32",123622.594262086
"33",122434.313351279
"34",113356.670876876
"35",118342.127409155
"36",118364.124384991
"37",120975.592986972
"38",118824.843709549
"39",119967.572971201
"40",118242.596420032
"41",120689.419875087
"42",124036.558434812
"43",123501.26130552
"44",118376.104828813
"45",125061.005111304
"46",123792.774083787
"47",119487.072534843
"48",119207.187853463
"49",115365.819221399
"50",120996.99511423
"51",117281.504504627
"52",118290.121885565
"53",119043.946450025
"54",120286.00142111
"55",121944.301879683
"56",119982.201732409
"57",120982.762042059
"58",113892.09914586
"59",122934.607766355
"60",119707.972002182
"61",114725.070560139
"62",118238.616019279
"63",123637.303838764
"64",118513.373037823
"65",116668.665511337
"66",116387.244296379
"67",124923.568916969
"68",124579.609020374
"69",114987.244296256
"70",117115.852247386
"71",117680.284775624
"72",118757.227158232
"73",117181.031522737
"74",117735.515671895
"75",119883.390886185
"76",118912.313931753
"77",118537.683755174
"78",119217.292926429
"79",118230.701810655
"80",121698.293901012
"81",118219.527243974
"82",115408.293865099
"83",120794.816358796
"84",117726.685168441
"85",119214.808666977
"86",115296.469818053
"87",119142.47952041
"88",120694.796592257
"89",115835.802965555
"90",117976.106145892
